SRI_id	SRI_label	SRI_def	ECO_label	ECO_id	ECO_def
EV–Comp–AInf–Positional–Identification	Automated inference of promoter position	Automated inference of promoter position relative to the -10 and -35 boxes.	motif similarity evidence used in manual assertion	ECO:0000028	A type of match to sequence model evidence that is based on the presence of a recognized domain or motif in a gene product's (usually protein) primary sequence.
EV–Comp–AInf–Similar–To–Consensus	Automated inference based on similarity toconsensus sequences	A DNA sequence similar to previously known consensus sequences is computationally identified.	consensus search evidence used in automatic assertion	ECO:0005625	A type of consensus search evidence that is used in an automatic assertion.
EV–Comp–AInf–Fn–From–Seq	Automated inference of function from sequence	Automated inference of function from sequence. A computer inferred a gene function based on sequence, profile, or structural similarity (as computed from sequence) to one or more other sequences.	sequence similarity evidence used in automatic assertion	ECO:0000249	A type of sequence similarity evidence that is used in an automatic assertion.
EV–Comp–AInf–Single–Directon	Automated inference that a single-gene directonis a transcription unit	Automated inference of transcription unit based on single-gene directon. Existence of a single-gene transcription unit for gene G is inferred computationally by the existence of upstream and downstream genes transcribed in the opposite direction of G.	genomic context evidence used in automatic assertion	ECO:0007327	A type of genomic context evidence that is used in an automatic assertion.
EV–Exp	Inferred from experiment	Inferred from experiment. The evidence for an assertion comes from a wet-lab experiment of some type.	experimental evidence	ECO:0000006	A type of evidence resulting from manipulation of variables in order to discover cause and effect.
EV–Exp–IPI	Inferred from physical interaction	IPI inferred from physical interaction.The assertion was inferred from a physical interaction such as 1) 2-hybrid interactions 2) Co-purification 3) Co-immunoprecipitation 4)Ion/protein binding experiments. This code covers physical interactions between the gene product of interest and another molecule (or ion, or complex). For functions such as protein binding or nucleic acid binding, a binding assay is simultaneously IPI and IDA; IDA is preferred because the assay directly detects the binding. For both IPI and IGI, it would be good practice to qualify them with the gene/protein/ion.	physical interaction evidence	ECO:0000021	A type of experimental evidence that is based on characterization of an interaction between a gene product and another molecule.
EV–Exp–IMP	Inferred from mutant phenotype	IMP inferred from mutant phenotype. The assertion was inferred from a mutant phenotype such as 1) Any gene mutation/knockout 2) Overexpression/ectopic expression of wild-type or mutant genes 3) Anti-sense experiments 4) RNA interference experiments 5) Specific protein inhibitors 6) Complementation. Comment: Inferences made from examining mutations or abnormal levels of only the product(s) of the gene of interest are covered by code EV-IMP (compare to code EV-IGI). Use this code for experiments that use antibodies or other specific inhibitors of RNA or protein activity, even though no gene may be mutated (the rationale is that EV-IMP is used where an abnormal situation prevails in a cell or organism).	mutant phenotype evidence	ECO:0000015	A type of experimental phenotypic evidence in which an observable phenotypic difference results from a change or mutation in DNA, reflecting a different form of an allele.
EV–Exp–IMP–Site–Mutation	Site mutation	A cis-mutation in the DNA sequence of the transcription-factor binding site interferes with the operation of the regulatory function. This is considered strong evidence for the existence and functional role of the DNA binding site.	mutant phenotype evidence	ECO:0000015	A type of experimental phenotypic evidence in which an observable phenotypic difference results from a change or mutation in DNA, reflecting a different form of an allele.
EV–Exp–IMP–Polar–Mutation	Polar mutation	If a mutation in a gene or promoter prevents expression of the downstream genes due to a polar effect, the mutated gene is clearly part of the transcription unit.	mutant phenotype evidence	ECO:0000015	A type of experimental phenotypic evidence in which an observable phenotypic difference results from a change or mutation in DNA, reflecting a different form of an allele.
EV–Exp–IMP–Reaction–Blocked	Reaction blocked in mutant	Mutant is characterized, and blocking of reaction is demonstrated.	loss-of-function mutant phenotype evidence	ECO:0000016	A type of mutant phenotype evidence where a phenotype is associated with altered gene product which lacks the molecular function of the wild-type gene.
EV–Exp–IMP–Reaction–Enhanced	Reaction enhanced in mutant	Gene is isolated and over-expressed, and increased accumulation of reaction product is observed.	over expression analysis evidence	ECO:0000120	A type of experimental phenotypic evidence in which a gene and/or gene product is investigated in a transgenic organism that has been engineered to overexpress that gene product.
EV–Exp–IGI	Inferred from genetic interaction	IGI inferred from genetic interaction. The assertion was inferred from a genetic interaction such as 1) Traditional genetic interactions such as suppressors, synthetic lethals, etc. 2) Functional complementation 3) Inference about one gene drawn from the phenotype of a mutation in a different gene.This category includes any combination of alterations in the sequence (mutation) or expression of more than one gene/gene product. This category can therefore cover any of the IMP experiments that are done in a non-wild-type background, although we prefer to use it only when all mutations are documented. When redundant copies of a gene must all be mutated to see an informative phenotype, use the IGI code. (Yes, this implies some organisms, such as mouse, will have far, far more IGI than IMP annotations.). IMP also covers phenotypic similarity: a phenotype that is informative because it is similar to that of another independent phenotype (which may have been described earlier or documented more fully) is IMP (not IGI). We have also decided to use this category for situations where a mutation in one gene (gene A) provides information about the function, process, or component of another gene (gene B; i.e. annotate gene B using IGI).	genetic interaction evidence	ECO:0000011	A type of experimental phenotypic evidence resulting from the effect that a given gene has on another gene or genes, and the products.
EV–Exp–IGI–Func–Complementation	Inferred by functional complementation	Protein activity inferred by isolating its gene and performing functional complementation of a well characterized heterologous mutant for the protein.	functional complementation evidence	ECO:0000012	A type of genetic interaction evidence where a wild-type copy of the gene in question is inserted into a mutant cell to see if it restores the wild-type phenotype in the mutant background.
EV–Exp–IEP	Inferred from expression pattern	IEP inferred from expression pattern. The assertion was inferred from a pattern of expression data such as 1) Transcript levels (e.g. Northerns, microarray data) 2) Protein levels (e.g. Western blots)	expression pattern evidence	ECO:0000008	A type of experimental evidence that is based on characterization of gene expression.
EV–Exp–IEP–Gene–Expression–Analysis	Gene expression analysis	The expression of the gene is analyzed through a transcriptional fusion (i.e. lacZ), and a difference in expression levels is observed when the regulatory protein is present (wild type) vs in its absence. Note that this evidence does not eliminate the possiblity of an indirect effect of the regulator on the regulated gene.	reporter gene assay evidence	ECO:0000049	A type of expression pattern evidence that is based on the expression pattern of a reporter gene.
EV-EXP-IEP-Coregulation	Inferred through co-regulation	Inferred through co-regulation. A transcription unit is inferred because a set of adjacent genes that are transcribed in the same direction exhibit similar expression patterns under a range of environmental conditions.	expression pattern evidence	ECO:0000008	A type of experimental evidence that is based on characterization of gene expression.
EV–Exp–IDA	Inferred from direct assay	IDA inferred from direct assay. The assertion was inferred from a direct experimental assay such as 1) Enzyme assays 2) In vitro reconstitution (e.g. transcription) 3) Immunofluorescence 4) Cell fractionation	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV–Exp–IDA–Binding–Of–Cellular–Extracts	Binding of cellular extracts	There exists physical evidence of the binding of cellular extracts containing a regulatory protein to its DNA binding site. This can be either by footprinting or mobility shift assays.	nucleic acid binding evidence	ECO:0000136	A type of affinity evidence resulting from the binding of a molecule to a nucleic acid.
EV–Exp–IDA–Binding–Of–Purified–Proteins	Binding of purified proteins	--	protein binding evidence	ECO:0000024	A type of affinity evidence resulting from the binding of a molecule to a protein or protein complex.
EV–Exp–IDA–RNA–Polymerase–Footprinting	RNA polymerase footprinting	The binding of RNA polymerase to a DNA region (the promoter) is shown by footprinting.	nucleic acid binding evidence	ECO:0000136	A type of affinity evidence resulting from the binding of a molecule to a nucleic acid.
EV–Exp–IDA–Transcription–Init–Mapping	Transcription initiation mapping	The transcription start site is identified by primer extension.	experimental evidence	ECO:0000006	A type of evidence resulting from manipulation of variables in order to discover cause and effect.
EV–Exp–IDA–Boundaries–Defined	Boundaries of transcription experimentallyidentified	Sites or genes bounding the transcription unit are experimentally identified. Several possible cases exist, such as defining the boundaries of a transcription unit with an experimentally identified promoter and terminator, or with a promoter and a downstream gene that is transcribed in the opposite direction, or with a terminator and an upstream gene that is transcribed in the opposite direction.	experimental evidence	ECO:0000006	A type of evidence resulting from manipulation of variables in order to discover cause and effect.
EV–Exp–IDA–Transcript–Len–Determination	Length of transcript experimentallydetermined	The length of the (transcribed) RNA is experimentally determined. The length of the mRNA is compared with that of the DNA sequence and by this means the number of genes transcribed are established.	experimental evidence	ECO:0000006	A type of evidence resulting from manipulation of variables in order to discover cause and effect.
EV–Exp–IDA–Unpurified–Protein	Assay of unpurified protein	Direct assay of unpurified protein. Presence of a protein activity is indicated by an assay, but the protein has not been purified. Expression host is unspecified.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV-EXP-IDA-UNPURIFIED-PROTEIN-HH	Assay of unpurified protein expressed in a heterlogous host	Direct assay of unpurified protein from a heterologous host. Presence of a newly acquired protein activity is indicated by an assay performed on a heterologous host expressing recombinant protein(s). The recombinant proteins have not been purified.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV-EXP-IDA-UNPURIFIED-PROTEIN-NH	Assay of unpurified protein expressed in its native host	Direct assay of unpurified protein from its native host. Presence of a protein activity is indicated by an assay performed with an organism, but the precise identity of the protein responsible for that activity is not established, since the protein has not been purified.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV–Exp–IDA–Purified–Protein–Multspecies	Assay of protein purified from mixed culture	Protein purified from mixed culture or other multispecies environment (such as, infected plant or animal tissue), and activity measured through in vitro assay.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV–Exp–IDA–Purified–Protein	Assay of purified protein	Direct assay of purified protein. Protein purified to homogeneity, and activity measured using an in vitro assay. Expression host is unspecified.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV-EXP-IDA-PURIFIED-PROTEIN-HH	Assay of protein purified to homogeneity from a heterlogous host	Direct assay of protein purified from a heterologous host. Recombinant protein purified to homogeneity from a heterologous host expressing cloned gene(s), and activity measured using an in vitro assay.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV-EXP-IDA-PURIFIED-PROTEIN-NH	Assay of protein purified to homogeneity from its native host	Direct assay of protein purified from its native host. Protein purified to homogeneity from its native host, and activity measured using an in vitro assay.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV-EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP	High-throughput transcription initiation mapping	The transcription start site is identified using a high-throughput experimental modified RACE approach.	rapid amplification of cDNA ends polymerase chain reaction evidence	ECO:0001820	A type of nucleotide sequencing assay evidence in which RT-PCR (cDNA synthesis) is first used to produce a cDNA copy of a region of the RNA transcript being investigated followed by PCR to capture either the unknown 5' or 3' end of the transcript for sequencing, depending on whether 5' RACE-PCR or 3' RACE-PCR are being undertaken.
EV-EXP-IDA-PART-PURIFIED-PROTEIN	Assay of partially-purified protein	Direct assay of partially purified protein from a specific organism. Protein partially purified, and activity measured using an in vitro assay. Expression host is unspecified.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV-EXP-IDA-PART-PURIFIED-PROTEIN-HH	Assay of protein partially-purified from a heterlogous host	Direct assay of protein partially purified from a heterologous host. Recombinant protein partially purified from a heterologous host expressing cloned gene(s), and activity measured using an in vitro assay.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV-EXP-IDA-PART-PURIFIED-PROTEIN-NH	Assay of protein partially-purified from its native host	Direct assay of protein partially purified from its native host. Protein partially purified from its native host, and activity measured using an in vitro assay.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV-EXP-IDA-RADIO	Inferred from radio-tracer experiment	The assertion, such as inference of a metabolic pathway, was inferred from a radio-tracer experiment.	direct assay evidence	ECO:0000002	A type of experimental evidence resulting from the direct measurement of some aspect of a biological feature.
EV-EXP-TAS	Traceable author statement to experimental support	Traceable author statement to experimental support. The assertion was made in a publication -- such as a review or in another database -- that itself did not describe an experiment supporting the assertion. However, the statement did reference another publication describing an experiment that supports the assertion. The difference between the codes EV-EXP-TAS and EV-AS-TAS is that the former code is used when it is certain that experimental evidence supports the assertion, and the latter code is used when there is a possibility that an experiment was not done to support the assertion. In general, references to the primary literature are preferred, but this code can be used when the original article is difficult to locate.	author statement supported by traceable reference	ECO:0000033	A type of author statement in which the author makes a statement that is not supported by information in that particular publication, but rather can be traced to a reference cited by that publication.
EV–IC	Inferred by curator	Inferred by curator. An assertion was inferred by a curator from relevant information such as other assertions in a database.	curator inference	ECO:0000205	A type of inferential evidence that is based on a conclusion drawn by a curator.
EV-IC-ADJ-GENES-SAME-BIO-PROCESS	Products of adjacent genes in the same biological process	A transcription unit is inferred because there is a set of adjacent genes, encoded in the same direction, coding for products that participate in the same metabolic pathway or biological process. Sometimes, these genes code for subunits of the same protein.	gene neighbors evidence	ECO:0000084	A type of genomic context evidence in which a gene product's identity is supported on the basis of the identity of neighboring genes.
